weighting,portfolio,model,start_month,end_month,nobs,alpha_monthly,alpha_hac_se,alpha_hac_t,alpha_hac_pvalue,beta_mkt,beta_smb,beta_hml,adjusted_r_squared
value_weighted,ME4 BM3,ff3,196307,202606,756,-0.0002826628,0.0006240044,-0.4529821050,0.6505616274,1.0372653253,0.1720121976,0.4338339824,0.8840908135
value_weighted,ME4 BM4,capm,196307,202606,756,0.0027625549,0.0010603045,2.6054355002,0.0091757548,0.9842169713,,,0.7585114743
value_weighted,ME4 BM4,ff3,196307,202606,756,0.0004966750,0.0006208063,0.8000482761,0.4236828273,1.0167293430,0.2418887690,0.5731881236,0.8787143273
value_weighted,ME4 BM5,capm,196307,202606,756,0.0022105832,0.0014916764,1.4819455307,0.1383547888,1.0763895052,,,0.6830550476
value_weighted,ME4 BM5,ff3,196307,202606,756,-0.0011287583,0.0007029385,-1.6057711742,0.1083241964,1.1350220927,0.3048228318,0.8489296776,0.8749431334
value_weighted,BIG LoBM,capm,196307,202606,756,0.0001977415,0.0006977044,0.2834173450,0.7768569339,0.9908081026,,,0.8831086760
value_weighted,BIG LoBM,ff3,196307,202606,756,0.0016334981,0.0004327630,3.7745788348,0.0001602782,0.9867062504,-0.2328018293,-0.3567403136,0.9466031122
value_weighted,ME5 BM2,capm,196307,202606,756,0.0002954599,0.0006119748,0.4827975534,0.6292394882,0.9234170582,,,0.8731546286
value_weighted,ME5 BM2,ff3,196307,202606,756,0.0000239013,0.0005486100,0.0435670684,0.9652495024,0.9714894057,-0.1839489096,0.0859795294,0.8916859596
value_weighted,ME5 BM3,capm,196307,202606,756,0.0009148626,0.0007921817,1.1548646798,0.2481458452,0.8599691438,,,0.7810434695
value_weighted,ME5 BM3,ff3,196307,202606,756,-0.0002021406,0.0006504175,-0.3107858884,0.7559633982,0.9440388109,-0.2087369722,0.3091855449,0.8473862214
value_weighted,ME5 BM4,capm,196307,202606,756,0.0002089502,0.0012715501,0.1643271394,0.8694736179,0.8844415794,,,0.6970082332
value_weighted,ME5 BM4,ff3,196307,202606,756,-0.0022887102,0.0007271018,-3.1477163494,0.0016455128,1.0162852392,-0.1961386128,0.6693846284,0.8883152684
value_weighted,BIG HiBM,capm,196307,202606,756,0.0019448813,0.0015330993,1.2685944735,0.2045857364,1.0024213506,,,0.6072282981
value_weighted,BIG HiBM,ff3,196307,202606,756,-0.0011940531,0.0011097694,-1.0759470429,0.2819509412,1.1403318928,-0.1125715941,0.8303779827,0.7903522550
equal_weighted,SMALL LoBM,capm,196307,202606,756,-0.0046299723,0.0022787374,-2.0318147834,0.0421724100,1.3621134025,,,0.5357863418
equal_weighted,SMALL LoBM,ff3,196307,202606,756,-0.0043478915,0.0013384059,-3.2485596811,0.0011599087,1.0584264335,1.4142238072,-0.1885967929,0.7866132027
equal_weighted,ME1 BM2,capm,196307,202606,756,0.0005067389,0.0019140457,0.2647475178,0.7912039692,1.2124631047,,,0.5560851902
equal_weighted,ME1 BM2,ff3,196307,202606,756,-0.0002287703,0.0010282888,-0.2224767037,0.8239428066,0.9648598377,1.3228976728,0.0850487260,0.8307871323
equal_weighted,ME1 BM3,capm,196307,202606,756,0.0023656245,0.0016870677,1.4022107690,0.1608523168,1.1281763190,,,0.5918975722
equal_weighted,ME1 BM3,ff3,196307,202606,756,0.0009215794,0.0009365544,0.9840104710,0.3251103645,0.9443857820,1.1399479002,0.2852736719,0.8497679299
equal_weighted,ME1 BM4,capm,196307,202606,756,0.0042404897,0.0016247794,2.6098864408,0.0090572283,1.0367311331,,,0.5826342765
equal_weighted,ME1 BM4,ff3,196307,202606,756,0.0022011262,0.0006930578,3.1759632922,0.0014933985,0.8836974411,1.0964187971,0.4445603317,0.8818702820
equal_weighted,SMALL HiBM,capm,196307,202606,756,0.0068842505,0.0018582714,3.7046528218,0.0002116805,1.0178836748,,,0.5121280506
equal_weighted,SMALL HiBM,ff3,196307,202606,756,0.0043696669,0.0009669400,4.5190672935,0.0000062113,0.8756035711,1.1281830489,0.5663139085,0.8200477903
equal_weighted,ME2 BM1,capm,196307,202606,756,-0.0035064261,0.0014774463,-2.3733018889,0.0176298478,1.4335843573,,,0.7250459744
equal_weighted,ME2 BM1,ff3,196307,202606,756,-0.0026470875,0.0008218194,-3.2210087973,0.0012774023,1.1819778978,1.0616334391,-0.3110043276,0.9136604603
equal_weighted,ME2 BM2,capm,196307,202606,756,0.0007239945,0.0012021167,0.6022663891,0.5469968301,1.2341867351,,,0.7565275757
equal_weighted,ME2 BM2,ff3,196307,202606,756,-0.0001109695,0.0006013315,-0.1845396212,0.8535901477,1.0736765152,0.9205833472,0.1437259324,0.9320932774
equal_weighted,ME2 BM3,capm,196307,202606,756,0.0026479113,0.0012292803,2.1540338550,0.0312375170,1.1212688317,,,0.7412071827
equal_weighted,ME2 BM3,ff3,196307,202606,756,0.0008175253,0.0006653474,1.2287193722,0.2191770404,1.0240860308,0.7904409855,0.4147224533,0.9244775218
equal_weighted,ME2 BM4,capm,196307,202606,756,0.0028733637,0.0012779060,2.2484938971,0.0245447138,1.0414766665,,,0.7041376746
equal_weighted,ME2 BM4,ff3,196307,202606,756,0.0002351084,0.0004887705,0.4810200160,0.6305022729,0.9842061156,0.7401718566,0.6301659888,0.9407515565
equal_weighted,ME2 BM5,capm,196307,202606,756,0.0029495060,0.0015880729,1.8572862994,0.0632704326,1.1941330754,,,0.6543303107
equal_weighted,ME2 BM5,ff3,196307,202606,756,-0.0007147864,0.0006130506,-1.1659501051,0.2436346191,1.1470747215,0.8714437494,0.8879527116,0.9283528300
equal_weighted,ME3 BM1,capm,196307,202606,756,-0.0026173362,0.0011299982,-2.3162304756,0.0205456881,1.3634769193,,,0.7857988667
equal_weighted,ME3 BM1,ff3,196307,202606,756,-0.0016521793,0.0006457825,-2.5584144827,0.0105150679,1.1713898124,0.7561201642,-0.3138903569,0.9112317044
equal_weighted,ME3 BM2,capm,196307,202606,756,0.0012132665,0.0010381527,1.1686782891,0.2425332724,1.1459378078,,,0.8153139587
equal_weighted,ME3 BM2,ff3,196307,202606,756,0.0003094998,0.0006357517,0.4868250358,0.6263823268,1.0551287496,0.5967099947,0.1880163648,0.9119332293
equal_weighted,ME3 BM3,capm,196307,202606,756,0.0013464318,0.0010397290,1.2949833429,0.1953259757,1.0552839244,,,0.7917258141
equal_weighted,ME3 BM3,ff3,196307,202606,756,-0.0004949498,0.0006232421,-0.7941533807,0.4271061446,1.0223758511,0.4825551466,0.4425910491,0.9090734831
