weighting,portfolio,model,durbin_watson,ljung_box_lag,ljung_box_stat,ljung_box_pvalue,breusch_pagan_lm,breusch_pagan_pvalue
equal_weighted,SMALL LoBM,capm,1.7913326469,6,14.7537627731,0.0222608201,2.9740915454,0.0846076155
equal_weighted,SMALL LoBM,ff3,2.0951522250,6,13.3494620268,0.0378101871,11.2904812590,0.0102544959
equal_weighted,ME1 BM2,capm,1.8240979332,6,16.2257943985,0.0125920042,7.2186716792,0.0072149079
equal_weighted,ME1 BM2,ff3,2.1554264162,6,25.6900914227,0.0002542647,13.2988610502,0.0040329203
equal_weighted,ME1 BM3,capm,1.8475082388,6,12.8662749735,0.0452093491,16.5522337357,0.0000473282
equal_weighted,ME1 BM3,ff3,2.0901029679,6,10.6728582257,0.0990288307,26.5320369698,0.0000073790
equal_weighted,ME1 BM4,capm,1.8167147336,6,18.3104914800,0.0055013473,11.4203803622,0.0007264282
equal_weighted,ME1 BM4,ff3,2.1668955035,6,22.2923334535,0.0010716763,17.5166825065,0.0005532470
equal_weighted,SMALL HiBM,capm,1.7342016782,6,24.8239118311,0.0003680594,6.3368327636,0.0118255856
equal_weighted,SMALL HiBM,ff3,2.0133566785,6,12.4851545984,0.0519805491,37.8588483717,0.0000000303
equal_weighted,ME2 BM1,capm,1.9670539152,6,10.9473405712,0.0900176342,1.0117799190,0.3144768028
equal_weighted,ME2 BM1,ff3,1.9990224755,6,11.5895352191,0.0717777517,11.7197114006,0.0084076633
equal_weighted,ME2 BM2,capm,2.0120348923,6,7.2457889559,0.2987138085,9.7840967898,0.0017602767
equal_weighted,ME2 BM2,ff3,1.8286945138,6,28.4516398244,0.0000772335,13.7308453717,0.0032953812
equal_weighted,ME2 BM3,capm,2.0409003553,6,23.3470337102,0.0006882019,6.5546760059,0.0104608885
equal_weighted,ME2 BM3,ff3,1.9210146120,6,27.9422499193,0.0000963451,63.2185363454,0.0000000000
equal_weighted,ME2 BM4,capm,1.9101098705,6,12.5713026572,0.0503719477,4.7263729301,0.0297034610
equal_weighted,ME2 BM4,ff3,1.9612119374,6,10.4025906774,0.1086900774,44.9744057956,0.0000000009
equal_weighted,ME2 BM5,capm,1.9620358955,6,11.9755229344,0.0625170906,5.1391370396,0.0233922732
equal_weighted,ME2 BM5,ff3,1.9340987557,6,12.3447186874,0.0547058491,12.8314384886,0.0050156784
equal_weighted,ME3 BM1,capm,2.0046565675,6,7.3923708903,0.2860792257,1.2990464666,0.2543874709
equal_weighted,ME3 BM1,ff3,1.9545833755,6,39.5866569081,0.0000005491,10.5906362311,0.0141584974
equal_weighted,ME3 BM2,capm,1.9550170532,6,16.1866044483,0.0127866698,3.2550199051,0.0712050727
equal_weighted,ME3 BM2,ff3,1.8372674850,6,11.4580059496,0.0752114750,14.7139318217,0.0020781745
equal_weighted,ME3 BM3,capm,1.9322064678,6,14.2687439378,0.0267740513,3.6300231059,0.0567460287
equal_weighted,ME3 BM3,ff3,2.0013056659,6,13.2192128819,0.0396839364,7.3808048252,0.0607014921
equal_weighted,ME3 BM4,capm,1.9756527856,6,14.5928136831,0.0236714628,0.0318025293,0.8584617493
equal_weighted,ME3 BM4,ff3,1.9606449523,6,3.1537962203,0.7893110313,11.9523337119,0.0075482416
equal_weighted,ME3 BM5,capm,1.8427577144,6,24.9414860436,0.0003500781,2.9701089873,0.0848161401
equal_weighted,ME3 BM5,ff3,1.9182523491,6,6.8331837998,0.3365502855,17.7164769429,0.0005032180
equal_weighted,ME4 BM1,capm,1.8263246725,6,16.2461961809,0.0124917955,0.0523504734,0.8190226115
equal_weighted,ME4 BM1,ff3,1.8322384001,6,22.8657666442,0.0008427060,1.7011060143,0.6366879313
equal_weighted,ME4 BM2,capm,1.8526691577,6,28.3599798586,0.0000803715,0.0710233122,0.7898526247
equal_weighted,ME4 BM2,ff3,1.8986442820,6,18.3767290215,0.0053565698,4.2138060677,0.2392832660
equal_weighted,ME4 BM3,capm,1.8148806256,6,13.1154886740,0.0412381990,0.0974237432,0.7549434246
equal_weighted,ME4 BM3,ff3,1.8919753159,6,8.9229163831,0.1779598362,4.7230431294,0.1932374924
equal_weighted,ME4 BM4,capm,1.9006835118,6,5.1461993750,0.5252035178,0.3515252633,0.5532509829
equal_weighted,ME4 BM4,ff3,1.9573696328,6,7.1737558402,0.3050769881,0.0650479233,0.9956727724
equal_weighted,ME4 BM5,capm,1.8241425280,6,19.5152834881,0.0033763762,0.7278545557,0.3935794956
equal_weighted,ME4 BM5,ff3,1.9652051129,6,6.8687479522,0.3331561610,7.5631611787,0.0559575883
equal_weighted,BIG LoBM,capm,1.9704100489,6,5.4930661249,0.4822951538,0.0475179821,0.8274398659
equal_weighted,BIG LoBM,ff3,2.0086789060,6,15.2726260216,0.0182390496,1.7412979133,0.6277916891
equal_weighted,ME5 BM2,capm,1.9216082303,6,12.7717706822,0.0468068573,0.0746955029,0.7846189411
equal_weighted,ME5 BM2,ff3,1.9139804011,6,11.4705624919,0.0748772749,10.0015904388,0.0185526210
equal_weighted,ME5 BM3,capm,1.7558519810,6,17.5822993799,0.0073653996,0.0029482103,0.9566982017
equal_weighted,ME5 BM3,ff3,1.8129283653,6,13.0754615982,0.0418531398,14.0288480498,0.0028661475
equal_weighted,ME5 BM4,capm,1.8563460372,6,11.7523847308,0.0677263281,3.1796896095,0.0745588917
equal_weighted,ME5 BM4,ff3,1.8071954122,6,8.9015638025,0.1791902075,9.6614348663,0.0216745529
equal_weighted,BIG HiBM,capm,1.9958835436,6,13.5854865616,0.0346252709,0.2494748888,0.6174450673
equal_weighted,BIG HiBM,ff3,2.0605227427,6,14.1116206747,0.0284138505,10.5418119359,0.0144799287
